website_url,platform,industry,tags,platforms,industries,colors,tag_confidence,enrichment_signals,last_enriched_at
abc.com,Unknown,Unknown,,[],[],"{""primary"": null, ""secondary"": null}",{},"{""platform_scores"": {}, ""industry_scores"": {}, ""colors"": {""primary"": null, ""secondary"": null}}",2026-02-04T15:28:06Z
https://eppeja.com/,"WordPress, Magento, React","Healthcare, E-commerce, Portfolio","skincare, eppeja, simple, works, when, comes, achieving, glowing, complexion, maintaining","[""WordPress"", ""Magento"", ""React""]","[""Healthcare"", ""E-commerce"", ""Portfolio"", ""Technology""]","{""primary"": ""#dfdfdf"", ""secondary"": ""#ffffff""}","{""skincare"": 1.0, ""eppeja"": 0.6, ""simple"": 0.6, ""works"": 0.6, ""when"": 0.6, ""comes"": 0.6, ""achieving"": 0.6, ""glowing"": 0.6, ""complexion"": 0.6, ""maintaining"": 0.6}","{""platform_scores"": {""WordPress"": 1.0, ""Magento"": 0.41666666666666663, ""React"": 0.41666666666666663}, ""industry_scores"": {""Healthcare"": 1.0, ""E-commerce"": 0.3333333333333333, ""Portfolio"": 0.3333333333333333, ""Technology"": 0.3333333333333333}, ""colors"": {""primary"": ""#dfdfdf"", ""secondary"": ""#ffffff""}}",2026-02-04T15:28:09Z
https://ardenrestaurants.fi/,"WordPress, Magento, React","Media, Restaurant, Technology","arden, restaurants, social, connections, through, taste, tule, meille, ihin, liity","[""WordPress"", ""Magento"", ""React""]","[""Media"", ""Restaurant"", ""Technology""]","{""primary"": ""#a07631"", ""secondary"": ""#eedab5""}","{""arden"": 1.0, ""restaurants"": 1.0, ""social"": 1.0, ""connections"": 1.0, ""through"": 1.0, ""taste"": 1.0, ""tule"": 1.0, ""meille"": 1.0, ""ihin"": 1.0, ""liity"": 1.0}","{""platform_scores"": {""WordPress"": 1.0, ""Magento"": 0.7142857142857142, ""React"": 0.3571428571428571}, ""industry_scores"": {""Media"": 1.0, ""Restaurant"": 1.0, ""Technology"": 1.0}, ""colors"": {""primary"": ""#a07631"", ""secondary"": ""#eedab5""}}",2026-02-04T15:28:12Z
http://bridesofnj.com/,"Magento, Laravel, React","E-commerce, Portfolio, Technology","expireddomains, bridesofnj, premium, expired, domain, godaddy, ideal, florist, projects, secure","[""Magento"", ""Laravel"", ""React""]","[""E-commerce"", ""Portfolio"", ""Technology""]","{""primary"": ""#db2800"", ""secondary"": ""#ff0000""}","{""expireddomains"": 1.0, ""bridesofnj"": 0.73, ""premium"": 0.73, ""expired"": 0.73, ""domain"": 0.73, ""godaddy"": 0.73, ""ideal"": 0.47, ""florist"": 0.47, ""projects"": 0.47, ""secure"": 0.47}","{""platform_scores"": {""Magento"": 0.5, ""Laravel"": 0.5, ""React"": 0.5}, ""industry_scores"": {""E-commerce"": 1.0, ""Portfolio"": 0.5, ""Technology"": 0.5}, ""colors"": {""primary"": ""#db2800"", ""secondary"": ""#ff0000""}}",2026-02-04T15:28:15Z
http://pokit-friends.online/,Unknown,Unknown,,[],[],"{""primary"": null, ""secondary"": null}",{},"{""platform_scores"": {}, ""industry_scores"": {}, ""colors"": {""primary"": null, ""secondary"": null}}",2026-02-04T15:28:30Z
https://nightwriter.one/,"WordPress, Magento","Media, Technology, SaaS","rosario, life, social, tale, first, media, night, writer, three, love","[""WordPress"", ""Magento""]","[""Media"", ""Technology"", ""SaaS"", ""Blog"", ""Education""]","{""primary"": ""#eceff3"", ""secondary"": ""#f9fafb""}","{""rosario"": 1.0, ""life"": 0.73, ""social"": 0.73, ""tale"": 0.6, ""first"": 0.6, ""media"": 0.6, ""night"": 0.47, ""writer"": 0.47, ""three"": 0.47, ""love"": 0.47}","{""platform_scores"": {""WordPress"": 1.0, ""Magento"": 0.8333333333333333}, ""industry_scores"": {""Media"": 1.0, ""Technology"": 1.0, ""SaaS"": 0.5, ""Blog"": 0.25, ""Education"": 0.25}, ""colors"": {""primary"": ""#eceff3"", ""secondary"": ""#f9fafb""}}",2026-02-04T15:28:36Z
https://blog.invertbio.com/,"Webflow, HubSpot CMS, Magento","E-commerce, Technology, Blog","invert, product, data, bioprocess, built, blog, industry, engineer, behind, software","[""Webflow"", ""HubSpot CMS"", ""Magento"", ""React""]","[""E-commerce"", ""Technology"", ""Blog"", ""Nonprofit"", ""SaaS""]","{""primary"": ""#0a2124"", ""secondary"": ""#1f2324""}","{""invert"": 1.0, ""product"": 0.83, ""data"": 0.54, ""bioprocess"": 0.49, ""built"": 0.43, ""blog"": 0.37, ""industry"": 0.37, ""engineer"": 0.37, ""behind"": 0.37, ""software"": 0.37}","{""platform_scores"": {""Webflow"": 0.8333333333333333, ""HubSpot CMS"": 0.8333333333333333, ""Magento"": 0.41666666666666663, ""React"": 0.41666666666666663}, ""industry_scores"": {""E-commerce"": 1.0, ""Technology"": 0.8333333333333334, ""Blog"": 0.4166666666666667, ""Nonprofit"": 0.3333333333333333, ""SaaS"": 0.25}, ""colors"": {""primary"": ""#0a2124"", ""secondary"": ""#1f2324""}}",2026-02-04T15:28:38Z
https://vlbpo.com/,"WordPress, Magento, HubSpot CMS","Agency, Technology, Portfolio","vlbpo, customer, company, business, outsourcing, support, efficiency, solutions, give, helped","[""WordPress"", ""Magento"", ""HubSpot CMS""]","[""Agency"", ""Technology"", ""Portfolio"", ""SaaS"", ""Marketing""]","{""primary"": ""#00b0ff"", ""secondary"": ""#003177""}","{""vlbpo"": 1.0, ""customer"": 1.0, ""company"": 1.0, ""business"": 0.66, ""outsourcing"": 0.66, ""support"": 0.66, ""efficiency"": 0.54, ""solutions"": 0.54, ""give"": 0.54, ""helped"": 0.54}","{""platform_scores"": {""WordPress"": 1.0, ""Magento"": 0.625, ""HubSpot CMS"": 0.625}, ""industry_scores"": {""Agency"": 1.0, ""Technology"": 0.8, ""Portfolio"": 0.4, ""SaaS"": 0.2, ""Marketing"": 0.2}, ""colors"": {""primary"": ""#00b0ff"", ""secondary"": ""#003177""}}",2026-02-04T15:28:41Z
https://nail-innovations.com/,"WordPress, Magento, React","E-commerce, Portfolio, Technology","magic, nail, found, products, just, product, details, information, darcy, here","[""WordPress"", ""Magento"", ""React"", ""Vue""]","[""E-commerce"", ""Portfolio"", ""Technology""]","{""primary"": ""#ffffff"", ""secondary"": ""#0d2e4f""}","{""magic"": 1.0, ""nail"": 0.73, ""found"": 0.73, ""products"": 0.73, ""just"": 0.73, ""product"": 0.73, ""details"": 0.73, ""information"": 0.73, ""darcy"": 0.6, ""here"": 0.6}","{""platform_scores"": {""WordPress"": 1.0, ""Magento"": 0.3571428571428571, ""React"": 0.3571428571428571, ""Vue"": 0.3571428571428571}, ""industry_scores"": {""E-commerce"": 1.0, ""Portfolio"": 0.3333333333333333, ""Technology"": 0.3333333333333333}, ""colors"": {""primary"": ""#ffffff"", ""secondary"": ""#0d2e4f""}}",2026-02-04T15:28:43Z
https://globalrootz.org/,Custom,Unknown,"cookies, website, data, globalrootz, sign, first, updates, copyright, 2024, global","[""Custom""]",[],"{""primary"": ""#6f6f6f"", ""secondary"": ""#ffff00""}","{""cookies"": 1.0, ""website"": 1.0, ""data"": 1.0, ""globalrootz"": 0.6, ""sign"": 0.6, ""first"": 0.6, ""updates"": 0.6, ""copyright"": 0.6, ""2024"": 0.6, ""global"": 0.6}","{""platform_scores"": {""Custom"": 0.5}, ""industry_scores"": {}, ""colors"": {""primary"": ""#6f6f6f"", ""secondary"": ""#ffff00""}}",2026-02-04T15:28:45Z
